,beta.Bourbonene,beta.Copaen.4a.ol,Sesquisabinene,gamma.Muurolene,X.Z..3.Hexenyl..E..2.methyl.2.butenoate,alpha.Copaene,alpha.Cubebene,beta.Bisabolene,beta.Copaene,beta.Myrcene,gamma.Terpinene,X2.methylbutyl.acetate,Isohexanol,Cyclosativene,p.Mentha.1.3.8.triene,X2.2.6.Trimethyl.1.4.cyclohexanedione,X2.6.Dimethylocta.1.5.7.trien.3.ol,X2.Methyl.6.methylene.1.7.octadien.3.one,X2.6.Dimethyl.1.7.octadien.3.6.diol,Linalool.Oxide,X2.Heptanol,X.Z..2.Hexenol,X.E..2.Hexenal,Allo.Ocimene,Cosmene,X4.Oxoisophorone,beta.Dihydroagarofuran,Terpinen.4.ol,X.E..3.Hexenyl.acetate,X.Z..3.Hexenyl.propanoate,Methyl.3.hexenoate,Rose.furan,X2.6.Dimethyl.3.7.octadien.2.6.diol,Car.3.en.5.one,X.E..Sabinene.hydrate,Heptyl.acetate,Pentyl.acetate,Anisole,Borneol,alpha.Thujene,Verbenone,X.E..Pinocarveol,Pinocamphone,X.Z..Caryophyllene,X2.Methylbutanoic.acid,X.E..3.Hexenyl.butanoate,X.Z..3.Hexenyl.butanoate,X.Z..3.Methylbutylaldoxime,Camphene,Carveol,Caryophyllene,Caryophyllene.oxide,Limonene.Oxide,alpha.Bergamotene,X.Z..3.Hexenyl.2.methylbutanoate,X.Z..3.Hexenyl.isobutyrate,Copaene,beta.Elemene,gamma.Elemene,Terpinolene,beta.Sesquiphellandrene,D.Carvone,D.Limonene,X.E..beta.Ocimene.epoxide,epsilon.Muurolene,beta.Selinene,Carvacrol,X2.Phenylethanol,Prenol,Isobutylaldoxime,X.E..alpha.Bergamotene,X.E..beta.Ocimene,Tricyclene,alphaPinene,Total,LogTotal
Hetvil4Aug6_08222018.qgd,0,0,0,0,0,0,140396,0,0,294899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63872,0,0,0,0,0,0,0,0,0,0,0,113307,0,0,0,0,0,0,0,0,0,0,230578,928698,13.74153888
Hetvil5Aug8_08222018.qgd,1031059,556930,0,0,0,0,513096,131730,0,2892380,870409,0,138361,0,192912,0,136225,0,0,0,0,0,1520827,0,0,0,0,0,4674508,691987,0,0,0,0,5309761,0,0,0,0,60161,0,124931,0,0,0,537643,2268790,0,0,0,417743,0,0,0,0,0,1270606,0,0,99785,0,0,1373455,0,0,914171,0,0,0,0,0,0,0,1007258,26734728,17.10147395
HV_100_190725_Paul_842019_10.qgd,1802363,0,0,824562,0,0,639714,0,1613214,4049421,0,62959,0,0,75461,0,0,0,0,0,0,0,380847,0,0,0,523201,0,2599833,0,0,0,0,0,0,0,0,15869,2311196,44389,0,0,199697,0,0,0,0,0,0,0,1638564,0,54856,0,0,0,795815,0,0,0,0,71680,8725199,0,225243,5093210,0,0,0,0,0,0,0,408257,32155550,17.28609562
HV_101_190725_Paul_842019_11.qgd,474398,0,0,0,0,163707,0,0,382662,790639,0,0,203863,0,33286,0,0,0,0,0,0,16116,188348,0,0,0,101090,0,415286,0,0,0,0,0,481422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1416600,226197,18008,621949,0,0,0,0,60639,0,0,33242,5340386,0,0,486565,0,0,0,152280,0,0,0,172727,11779410,16.28186365
HV_102_190725_Paul_842019_12.qgd,0,0,0,0,0,0,0,0,0,126342,19310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252768,0,0,0,0,0,512193,0,0,0,0,0,22336,0,56854,0,0,16312,0,0,0,0,53067,0,0,0,0,0,27169,0,0,0,0,0,385596,0,0,0,0,0,0,0,39480,0,0,91007,1602434,14.28703428
HV_103_190725_Paul_842019_13.qgd,138774,0,0,94134,0,0,0,0,0,160625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96328,0,344978,0,0,0,0,0,0,0,0,0,0,0,0,0,59088,0,0,0,0,0,0,0,141359,0,0,0,0,0,103041,0,0,0,0,0,263438,0,0,749929,0,0,0,0,0,0,0,199430,2351124,14.67040407
HVAug9_08262017.qgd,2610202,0,0,0,0,437971,0,0,386836,4529124,0,66459,0,0,0,0,0,905864,0,0,0,0,574168,209513,244298,0,0,0,5069646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326183,0,0,0,189937,0,0,0,0,0,0,226832,9842225,0,0,0,0,0,0,0,0,0,0,1007887,26627145,17.09744174
HVJul21_08162017.qgd,0,0,0,0,0,0,0,0,0,971734,0,0,0,0,0,0,0,80733,0,0,0,0,43589,0,0,0,0,0,1423507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295389,0,0,0,0,0,0,0,0,0,0,2476874,5291826,15.48167392
HVJul26_08242017.qgd,0,0,0,0,0,0,0,0,0,14052567,0,0,0,0,0,0,0,269250,0,0,0,0,0,39663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142977,163247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2474671,0,0,0,0,0,0,0,0,0,0,1037491,18179866,16.71582528
HVJul30_08242017.qgd,3225253,0,0,0,0,260262,0,0,914576,4109359,536000,54018,0,0,0,0,0,330718,0,0,1025974,0,419256,0,0,0,0,0,4610874,0,0,0,0,0,3240343,0,0,152686,4366233,0,0,0,559857,0,65948,0,0,0,0,0,1118022,0,0,0,334537,0,0,0,0,0,0,0,1244093,0,0,0,0,0,0,0,0,0,0,706417,27274426,17.12146004
